brand,product_name,category,animal_materials,material_type,quantity_used,color,pattern_or_texture,manufacturing_process,country_of_origin,date_of_manufacture,sustainable_certification,ethics_notes,estimated_price_usd,availability_status,harms_to_animal,conservation_status,traceability_notes,needs_brand_model_verification,needs_color_name_verification,needs_cert_docs,product_code_validation_regex,product_code_is_valid_format,official_product_name,official_style_code,official_product_url,official_description,official_product_details,official_color_name,product_code_status,product_code_notes,pdp_found,animal_cruelty_flag,animal_cruelty_note
Gucci,Gucci Product 70,Shoes,Lambskin (Sheepskin),Leather,1 hide,Monogram,Smooth,Hand-stitched,Spain,2025,LWG-certified tannery (if applicable),Ethically sourced leather,17976.65,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^\d{6}\s[A-Z0-9]{5}\s\d{4}$,False,Gucci Product 70,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Shoes, Material: Lambskin (Sheepskin), Color: Monogram",Monogram,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Lambskin (Sheepskin) - animal killed
Dolce & Gabbana,Dolce & Gabbana Product 71,Shoes,Crocodile Leather,Exotic Leather,1 skin,Monogram,Grain,Hand-stitched,France,2022,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,47904.3,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dolce & Gabbana Product 71,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Shoes, Material: Crocodile Leather, Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Hermès,Hermès Product 72,Bag,Lambskin (Sheepskin),Leather,1 hide,Black,Embossed,Hand-stitched,United Kingdom,2020,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,64968.32,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hermès Product 72,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Bag, Material: Lambskin (Sheepskin), Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Dolce & Gabbana,Dolce & Gabbana Product 73,Wallet,Bovine (Cowhide),Leather,1 hide,Red,Textured,Machine-made,Italy,2023,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,81260.4,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dolce & Gabbana Product 73,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Wallet, Material: Bovine (Cowhide), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Dior,Lady Dior,Bag,Calfskin,Leather,1 hide,Beige,Grain,Handcrafted,Italy,2023,FSC,Leather sourced from sustainable farms,4500.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Lady Dior,101,https://www.brand.com/product,Luxury item crafted from Calfskin,"Category: Bag, Material: Calfskin, Color: Beige",Beige,Verified,Updated from authoritative user list,False,True,Made from Calfskin - animal killed
Fendi,Fendi Product 75,Bag,Bovine (Cowhide),Leather,1 hide,Beige,Smooth,Handcrafted,Italy,2024,LWG-certified tannery (if applicable),Strict sourcing from certified farms,10663.03,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Fendi Product 75,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Bag, Material: Bovine (Cowhide), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Balenciaga,Balenciaga Product 76,Belt,Bovine (Cowhide),Leather,1 hide,Brown,Smooth,Hand-stitched,France,2024,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,14279.12,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Balenciaga Product 76,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Belt, Material: Bovine (Cowhide), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Miu Miu,Miu Miu Product 77,Belt,Lambskin (Sheepskin),Leather,1 hide,Red,Textured,Handcrafted,France,2023,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,5308.57,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 77,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Belt, Material: Lambskin (Sheepskin), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Versace,Versace Product 78,Belt,Bovine (Cowhide),Leather,1 hide,Monogram,Quilted,Machine-made,Spain,2022,LWG-certified tannery (if applicable),Ethically sourced leather,34759.05,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9\-]{5,15}$",True,Versace Product 78,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Belt, Material: Bovine (Cowhide), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Prada,Prada Product 79,Bag,Calfskin (Bovine),Leather,1 hide,Brown,Quilted,Hand-stitched,Spain,2025,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,70005.1,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{1,6}(?:_[A-Z0-9]{2,6}){2,5}$",False,Prada Product 79,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Bag, Material: Calfskin (Bovine), Color: Brown",Brown,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Calfskin (Bovine) - animal killed
Tom Ford,Tom Ford Product 80,Belt,Bovine (Cowhide),Leather,1 hide,Brown,Grain,Hand-stitched,Italy,2020,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,13883.4,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Tom Ford Product 80,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Belt, Material: Bovine (Cowhide), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Bottega Veneta,Bottega Veneta Product 81,Shoes,Crocodile Leather,Exotic Leather,1 skin,Beige,Grain,Hand-stitched,United Kingdom,2020,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,51424.73,Limited Edition,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Bottega Veneta Product 81,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Shoes, Material: Crocodile Leather, Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Gucci,Gucci Product 82,Wallet,Crocodile Leather,Exotic Leather,1 skin,Beige,Embossed,Hand-stitched,France,2020,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,42749.33,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,^\d{6}\s[A-Z0-9]{5}\s\d{4}$,False,Gucci Product 82,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Wallet, Material: Crocodile Leather, Color: Beige",Beige,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Crocodile Leather - animal killed
Bottega Veneta,Bottega Veneta Product 83,Shoes,Lambskin (Sheepskin),Leather,1 hide,Brown,Embossed,Hand-stitched,United Kingdom,2023,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,42745.35,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Bottega Veneta Product 83,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Shoes, Material: Lambskin (Sheepskin), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Chanel,Chanel Product 84,Shoes,Ostrich Leather,Leather,1 hide,Red,Embossed,Machine-made,France,2021,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,32941.55,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Chanel Product 84,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Shoes, Material: Ostrich Leather, Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Louis Vuitton,Louis Vuitton Product 85,Belt,Calfskin (Bovine),Leather,1 hide,Brown,Textured,Handcrafted,Spain,2025,LWG-certified tannery (if applicable),Strict sourcing from certified farms,74495.97,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^[A-Z]{1}\d{5}$,False,Louis Vuitton Product 85,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Belt, Material: Calfskin (Bovine), Color: Brown",Brown,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Calfskin (Bovine) - animal killed
Alexander Mcqueen,Alexander Mcqueen Product 86,Bag,Calfskin (Bovine),Leather,1 hide,Red,Smooth,Handcrafted,Italy,2025,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,16467.87,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Alexander Mcqueen Product 86,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Bag, Material: Calfskin (Bovine), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Hermès,Hermès Product 87,Bag,Ostrich Leather,Leather,1 hide,Monogram,Smooth,Handcrafted,France,2020,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,48684.2,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hermès Product 87,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Bag, Material: Ostrich Leather, Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Burberry,Burberry Product 88,Shoes,Ostrich Leather,Leather,1 hide,Red,Smooth,Machine-made,Spain,2024,LWG-certified tannery (if applicable),Strict sourcing from certified farms,34474.47,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9]{7,10}$",False,Burberry Product 88,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Shoes, Material: Ostrich Leather, Color: Red",Red,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Ostrich Leather - animal killed
Tom Ford,Tom Ford Product 89,Belt,Crocodile Leather,Exotic Leather,1 skin,Monogram,Smooth,Handcrafted,Spain,2021,CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,85088.99,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Tom Ford Product 89,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Belt, Material: Crocodile Leather, Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Versace,Versace Product 90,Shoes,Ostrich Leather,Leather,1 hide,Black,Grain,Machine-made,United Kingdom,2020,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,77831.54,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9\-]{5,15}$",True,Versace Product 90,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Shoes, Material: Ostrich Leather, Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Balenciaga,Balenciaga Product 91,Belt,Bovine (Cowhide),Leather,1 hide,Black,Quilted,Machine-made,France,2023,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,43886.43,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Balenciaga Product 91,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Belt, Material: Bovine (Cowhide), Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Balenciaga,Balenciaga Product 92,Bag,Calfskin (Bovine),Leather,1 hide,Monogram,Smooth,Machine-made,France,2025,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,18052.46,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Balenciaga Product 92,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Bag, Material: Calfskin (Bovine), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Miu Miu,Miu Miu Product 93,Shoes,Bovine (Cowhide),Leather,1 hide,Monogram,Quilted,Machine-made,France,2020,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,38892.72,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 93,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Shoes, Material: Bovine (Cowhide), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Miu Miu,Miu Miu Product 94,Shoes,Crocodile Leather,Exotic Leather,1 skin,Black,Smooth,Machine-made,Italy,2021,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,14077.08,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 94,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Shoes, Material: Crocodile Leather, Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Balenciaga,Balenciaga Product 95,Bag,Ostrich Leather,Leather,1 hide,Brown,Grain,Machine-made,United Kingdom,2024,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,78135.47,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Balenciaga Product 95,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Bag, Material: Ostrich Leather, Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Loewe,Loewe Product 96,Belt,Bovine (Cowhide),Leather,1 hide,Black,Textured,Hand-stitched,United Kingdom,2020,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,56402.69,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Loewe Product 96,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Belt, Material: Bovine (Cowhide), Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Fendi,Fendi Product 97,Bag,Lambskin (Sheepskin),Leather,1 hide,Beige,Textured,Hand-stitched,Spain,2021,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,93732.12,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Fendi Product 97,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Bag, Material: Lambskin (Sheepskin), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Dolce & Gabbana,Dolce & Gabbana Product 98,Belt,Calfskin (Bovine),Leather,1 hide,Monogram,Quilted,Handcrafted,Spain,2025,LWG-certified tannery (if applicable),Ethically sourced leather,33902.2,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dolce & Gabbana Product 98,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Belt, Material: Calfskin (Bovine), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Chanel,Chanel Product 99,Bag,Crocodile Leather,Exotic Leather,1 skin,Beige,Textured,Handcrafted,Italy,2024,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,8496.38,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Chanel Product 99,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Bag, Material: Crocodile Leather, Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Alexander Mcqueen,Alexander Mcqueen Product 100,Bag,Bovine (Cowhide),Leather,1 hide,Brown,Quilted,Hand-stitched,France,2025,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,22294.12,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Alexander Mcqueen Product 100,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Bag, Material: Bovine (Cowhide), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Balenciaga,Balenciaga Product 101,Belt,Crocodile Leather,Exotic Leather,1 skin,Brown,Grain,Handcrafted,Spain,2022,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,60843.9,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Balenciaga Product 101,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Belt, Material: Crocodile Leather, Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Dior,Dior Product 102,Bag,Bovine (Cowhide),Leather,1 hide,Monogram,Embossed,Hand-stitched,Italy,2025,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,84250.4,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dior Product 102,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Bag, Material: Bovine (Cowhide), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Givenchy,Givenchy Product 103,Bag,Ostrich Leather,Leather,1 hide,Beige,Textured,Machine-made,Italy,2025,LWG-certified tannery (if applicable),Ethically sourced leather,58540.52,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Givenchy Product 103,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Bag, Material: Ostrich Leather, Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Prada,Prada Product 104,Bag,Lambskin (Sheepskin),Leather,1 hide,Beige,Quilted,Hand-stitched,United Kingdom,2020,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,37687.82,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{1,6}(?:_[A-Z0-9]{2,6}){2,5}$",False,Prada Product 104,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Bag, Material: Lambskin (Sheepskin), Color: Beige",Beige,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Lambskin (Sheepskin) - animal killed
Bottega Veneta,Bottega Veneta Product 105,Belt,Crocodile Leather,Exotic Leather,1 skin,Beige,Textured,Handcrafted,France,2024,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,40353.01,Limited Edition,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Bottega Veneta Product 105,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Belt, Material: Crocodile Leather, Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Dior,Dior Product 106,Shoes,Calfskin (Bovine),Leather,1 hide,Brown,Smooth,Handcrafted,Spain,2025,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,35359.89,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dior Product 106,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Shoes, Material: Calfskin (Bovine), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Balenciaga,Balenciaga Product 107,Bag,Calfskin (Bovine),Leather,1 hide,Black,Quilted,Machine-made,France,2022,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,79853.65,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Balenciaga Product 107,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Bag, Material: Calfskin (Bovine), Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Bottega Veneta,Bottega Veneta Product 108,Bag,Ostrich Leather,Leather,1 hide,Monogram,Grain,Hand-stitched,Spain,2022,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,60153.23,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Bottega Veneta Product 108,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Bag, Material: Ostrich Leather, Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
