brand,product_code,product_name,category,animal_materials,material_type,quantity_used,color,pattern_or_texture,manufacturing_process,country_of_origin,date_of_manufacture,sustainable_certification,ethics_notes,estimated_price_usd,availability_status,harms_to_animal,conservation_status,traceability_notes,needs_brand_model_verification,needs_color_name_verification,needs_cert_docs,product_code_validation_regex,product_code_is_valid_format,official_product_name,official_style_code,official_product_url,official_description,official_product_details,official_color_name,product_code_status,product_code_notes,pdp_found
Gucci,,Gucci Product 57,Wallet,Calfskin (Bovine),Leather,1 hide,Red,Grain,Hand-stitched,Spain,2025,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,59187.63,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^\d{6}\s[A-Z0-9]{5}\s\d{4}$,False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Celine,582420.0,Celine Product 58,Shoes,Ostrich Leather,Leather,1 hide,Red,Textured,Machine-made,United Kingdom,2023,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,15055.39,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Valentino,238545.0,Valentino Product 59,Belt,Crocodile Leather,Exotic Leather,1 skin,Brown,Smooth,Hand-stitched,Spain,2020,CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,68230.46,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9]{6,12}$",True,,,,,,,,,False
Hermès,176161.0,Hermès Product 60,Belt,Bovine (Cowhide),Leather,1 hide,Red,Textured,Handcrafted,Spain,2023,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,93029.07,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Balenciaga,637441.0,Balenciaga Product 61,Wallet,Lambskin (Sheepskin),Leather,1 hide,Brown,Smooth,Hand-stitched,Italy,2024,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,9079.39,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Chanel,824850.0,Chanel Product 62,Belt,Calfskin (Bovine),Leather,1 hide,Brown,Quilted,Hand-stitched,Spain,2024,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,91630.71,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Hermès,696450.0,Hermès Product 63,Wallet,Calfskin (Bovine),Leather,1 hide,Beige,Grain,Machine-made,United Kingdom,2022,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,52534.06,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Celine,289871.0,Celine Product 64,Shoes,Lambskin (Sheepskin),Leather,1 hide,Black,Textured,Machine-made,Italy,2023,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,71905.01,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Fendi,486916.0,Fendi Product 65,Bag,Lambskin (Sheepskin),Leather,1 hide,Black,Grain,Hand-stitched,United Kingdom,2021,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,21347.62,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Burberry,,Burberry Product 66,Belt,Lambskin (Sheepskin),Leather,1 hide,Brown,Textured,Machine-made,France,2021,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,38785.37,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{7,10}$",False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Miu Miu,607239.0,Miu Miu Product 67,Wallet,Crocodile Leather,Exotic Leather,1 skin,Brown,Embossed,Machine-made,United Kingdom,2023,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Ethically sourced leather,71931.48,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Versace,767467.0,Versace Product 68,Belt,Bovine (Cowhide),Leather,1 hide,Red,Textured,Hand-stitched,Italy,2021,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,10011.42,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9\-]{5,15}$",True,,,,,,,,,False
Balenciaga,561670.0,Balenciaga Product 69,Wallet,Calfskin (Bovine),Leather,1 hide,Black,Embossed,Hand-stitched,France,2021,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,70219.94,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Gucci,,Gucci Product 70,Shoes,Lambskin (Sheepskin),Leather,1 hide,Monogram,Smooth,Hand-stitched,Spain,2025,LWG-certified tannery (if applicable),Ethically sourced leather,17976.65,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^\d{6}\s[A-Z0-9]{5}\s\d{4}$,False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Dolce & Gabbana,764944.0,Dolce & Gabbana Product 71,Shoes,Crocodile Leather,Exotic Leather,1 skin,Monogram,Grain,Hand-stitched,France,2022,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,47904.3,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Hermès,427621.0,Hermès Product 72,Bag,Lambskin (Sheepskin),Leather,1 hide,Black,Embossed,Hand-stitched,United Kingdom,2020,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,64968.32,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Dolce & Gabbana,498820.0,Dolce & Gabbana Product 73,Wallet,Bovine (Cowhide),Leather,1 hide,Red,Textured,Machine-made,Italy,2023,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,81260.4,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Dior,101,Lady Dior,Bag,Calfskin,Leather,1 hide,Beige,Grain,Handcrafted,Italy,2023,FSC,Leather sourced from sustainable farms,4500.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Lady Dior,101,,,,,Verified,Updated from authoritative user list,False
Fendi,484971.0,Fendi Product 75,Bag,Bovine (Cowhide),Leather,1 hide,Beige,Smooth,Handcrafted,Italy,2024,LWG-certified tannery (if applicable),Strict sourcing from certified farms,10663.03,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Balenciaga,912848.0,Balenciaga Product 76,Belt,Bovine (Cowhide),Leather,1 hide,Brown,Smooth,Hand-stitched,France,2024,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,14279.12,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Miu Miu,656808.0,Miu Miu Product 77,Belt,Lambskin (Sheepskin),Leather,1 hide,Red,Textured,Handcrafted,France,2023,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,5308.57,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Versace,320382.0,Versace Product 78,Belt,Bovine (Cowhide),Leather,1 hide,Monogram,Quilted,Machine-made,Spain,2022,LWG-certified tannery (if applicable),Ethically sourced leather,34759.05,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9\-]{5,15}$",True,,,,,,,,,False
Prada,,Prada Product 79,Bag,Calfskin (Bovine),Leather,1 hide,Brown,Quilted,Hand-stitched,Spain,2025,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,70005.1,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{1,6}(?:_[A-Z0-9]{2,6}){2,5}$",False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Tom Ford,878404.0,Tom Ford Product 80,Belt,Bovine (Cowhide),Leather,1 hide,Brown,Grain,Hand-stitched,Italy,2020,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,13883.4,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Bottega Veneta,549653.0,Bottega Veneta Product 81,Shoes,Crocodile Leather,Exotic Leather,1 skin,Beige,Grain,Hand-stitched,United Kingdom,2020,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,51424.73,Limited Edition,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Gucci,,Gucci Product 82,Wallet,Crocodile Leather,Exotic Leather,1 skin,Beige,Embossed,Hand-stitched,France,2020,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,42749.33,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,^\d{6}\s[A-Z0-9]{5}\s\d{4}$,False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Bottega Veneta,564870.0,Bottega Veneta Product 83,Shoes,Lambskin (Sheepskin),Leather,1 hide,Brown,Embossed,Hand-stitched,United Kingdom,2023,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,42745.35,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Chanel,981451.0,Chanel Product 84,Shoes,Ostrich Leather,Leather,1 hide,Red,Embossed,Machine-made,France,2021,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,32941.55,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Louis Vuitton,,Louis Vuitton Product 85,Belt,Calfskin (Bovine),Leather,1 hide,Brown,Textured,Handcrafted,Spain,2025,LWG-certified tannery (if applicable),Strict sourcing from certified farms,74495.97,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^[A-Z]{1}\d{5}$,False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Alexander Mcqueen,741957.0,Alexander Mcqueen Product 86,Bag,Calfskin (Bovine),Leather,1 hide,Red,Smooth,Handcrafted,Italy,2025,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,16467.87,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Hermès,164924.0,Hermès Product 87,Bag,Ostrich Leather,Leather,1 hide,Monogram,Smooth,Handcrafted,France,2020,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,48684.2,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Burberry,,Burberry Product 88,Shoes,Ostrich Leather,Leather,1 hide,Red,Smooth,Machine-made,Spain,2024,LWG-certified tannery (if applicable),Strict sourcing from certified farms,34474.47,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9]{7,10}$",False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Tom Ford,650164.0,Tom Ford Product 89,Belt,Crocodile Leather,Exotic Leather,1 skin,Monogram,Smooth,Handcrafted,Spain,2021,CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,85088.99,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Versace,910683.0,Versace Product 90,Shoes,Ostrich Leather,Leather,1 hide,Black,Grain,Machine-made,United Kingdom,2020,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,77831.54,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9\-]{5,15}$",True,,,,,,,,,False
Balenciaga,944296.0,Balenciaga Product 91,Belt,Bovine (Cowhide),Leather,1 hide,Black,Quilted,Machine-made,France,2023,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,43886.43,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Balenciaga,450979.0,Balenciaga Product 92,Bag,Calfskin (Bovine),Leather,1 hide,Monogram,Smooth,Machine-made,France,2025,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,18052.46,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Miu Miu,553115.0,Miu Miu Product 93,Shoes,Bovine (Cowhide),Leather,1 hide,Monogram,Quilted,Machine-made,France,2020,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,38892.72,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Miu Miu,160508.0,Miu Miu Product 94,Shoes,Crocodile Leather,Exotic Leather,1 skin,Black,Smooth,Machine-made,Italy,2021,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,14077.08,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Balenciaga,997600.0,Balenciaga Product 95,Bag,Ostrich Leather,Leather,1 hide,Brown,Grain,Machine-made,United Kingdom,2024,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,78135.47,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Loewe,527710.0,Loewe Product 96,Belt,Bovine (Cowhide),Leather,1 hide,Black,Textured,Hand-stitched,United Kingdom,2020,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,56402.69,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Fendi,414573.0,Fendi Product 97,Bag,Lambskin (Sheepskin),Leather,1 hide,Beige,Textured,Hand-stitched,Spain,2021,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,93732.12,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Dolce & Gabbana,480506.0,Dolce & Gabbana Product 98,Belt,Calfskin (Bovine),Leather,1 hide,Monogram,Quilted,Handcrafted,Spain,2025,LWG-certified tannery (if applicable),Ethically sourced leather,33902.2,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Chanel,446831.0,Chanel Product 99,Bag,Crocodile Leather,Exotic Leather,1 skin,Beige,Textured,Handcrafted,Italy,2024,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,8496.38,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Alexander Mcqueen,867254.0,Alexander Mcqueen Product 100,Bag,Bovine (Cowhide),Leather,1 hide,Brown,Quilted,Hand-stitched,France,2025,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,22294.12,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Balenciaga,512109.0,Balenciaga Product 101,Belt,Crocodile Leather,Exotic Leather,1 skin,Brown,Grain,Handcrafted,Spain,2022,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,60843.9,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Dior,949941.0,Dior Product 102,Bag,Bovine (Cowhide),Leather,1 hide,Monogram,Embossed,Hand-stitched,Italy,2025,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,84250.4,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Givenchy,971379.0,Givenchy Product 103,Bag,Ostrich Leather,Leather,1 hide,Beige,Textured,Machine-made,Italy,2025,LWG-certified tannery (if applicable),Ethically sourced leather,58540.52,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Prada,,Prada Product 104,Bag,Lambskin (Sheepskin),Leather,1 hide,Beige,Quilted,Hand-stitched,United Kingdom,2020,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,37687.82,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{1,6}(?:_[A-Z0-9]{2,6}){2,5}$",False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Bottega Veneta,244399.0,Bottega Veneta Product 105,Belt,Crocodile Leather,Exotic Leather,1 skin,Beige,Textured,Handcrafted,France,2024,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,40353.01,Limited Edition,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Dior,442108.0,Dior Product 106,Shoes,Calfskin (Bovine),Leather,1 hide,Brown,Smooth,Handcrafted,Spain,2025,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,35359.89,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Balenciaga,322102.0,Balenciaga Product 107,Bag,Calfskin (Bovine),Leather,1 hide,Black,Quilted,Machine-made,France,2022,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,79853.65,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Bottega Veneta,643031.0,Bottega Veneta Product 108,Bag,Ostrich Leather,Leather,1 hide,Monogram,Grain,Hand-stitched,Spain,2022,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,60153.23,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Hermès,923197.0,Hermès Product 109,Belt,Ostrich Leather,Leather,1 hide,Red,Grain,Handcrafted,France,2022,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,34138.24,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Saint Laurent,659940.0,Saint Laurent Product 110,Wallet,Ostrich Leather,Leather,1 hide,Monogram,Quilted,Machine-made,Spain,2021,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,2757.02,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Miu Miu,724031.0,Miu Miu Product 111,Bag,Bovine (Cowhide),Leather,1 hide,Beige,Textured,Handcrafted,France,2022,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,81444.22,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Chanel,251237.0,Chanel Product 112,Belt,Lambskin (Sheepskin),Leather,1 hide,Brown,Embossed,Machine-made,Spain,2021,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,50879.31,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Alexander Mcqueen,371845.0,Alexander Mcqueen Product 113,Belt,Calfskin (Bovine),Leather,1 hide,Red,Embossed,Hand-stitched,Italy,2021,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,82625.12,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
